#timeI (float32)[1],PositionR (float32)[1],PositionZ (float32)[1]
0.02550346,0.08500000,0.08500000
0.02560347,0.08500000,0.08500000
0.02570348,0.08500000,0.08500000
0.02580350,0.08500000,0.08500000
0.02590351,0.08500000,0.08500000
0.02600352,0.08500000,0.08500000
0.02610353,0.08500000,0.08500000
0.02620355,0.08500000,0.08500000
0.02630356,0.08500000,0.08500000
0.02640357,0.08500000,0.08500000
0.02650359,0.08500000,0.08500000
0.02660360,0.08500000,0.08500000
0.02670361,0.08500000,0.08500000
0.02680363,0.08500000,0.08500000
0.02690364,0.08500000,0.08500000
0.02700365,0.08500000,0.08500000
0.02710367,0.08500000,0.08500000
0.02720368,0.08500000,0.08500000
0.02730369,0.08500000,0.08500000
0.02740371,0.08500000,0.08500000
0.02750372,0.08500000,0.08500000
0.02760373,0.08500000,0.08500000
0.02770374,0.08500000,0.08500000
0.02780376,0.08500000,0.08500000
0.02790377,0.08500000,0.08500000
0.02800378,0.08500000,0.08500000
0.02810380,0.08500000,0.08500000
0.02820381,0.08500000,0.08500000
0.02830382,0.08500000,0.08500000
0.02840384,0.08500000,0.08500000
0.02850385,0.08500000,0.08500000
0.02860386,0.08500000,0.08500000
0.02870387,0.08500000,0.08500000
0.02880389,0.08500000,0.08500000
0.02890390,0.08500000,0.08500000
0.02900391,0.08500000,0.08500000
0.02910393,0.08500000,0.08500000
0.02920394,0.08500000,0.08500000
0.02930395,0.08500000,0.08500000
0.02940396,0.08500000,0.08500000
0.02950398,0.08500000,0.08500000
0.02960399,0.08500000,0.08500000
0.02970400,0.08500000,0.08500000
0.02980402,0.08500000,0.08500000
0.02990403,0.08500000,0.08500000
0.03000404,0.08500000,0.08500000
0.03010406,0.08500000,0.08500000
0.03020407,0.08500000,0.08500000
0.03030408,0.08500000,0.08500000
0.03040410,0.08500000,0.08500000
0.03050411,0.08500000,0.08500000
0.03060412,0.08500000,0.08500000
0.03070414,0.08500000,0.08500000
0.03080415,0.08500000,0.08500000
0.03090416,0.08500000,0.08500000
0.03100418,0.08500000,0.08500000
0.03110419,0.08500000,0.08500000
0.03120420,0.08500000,0.08500000
0.03130421,0.08500000,0.08500000
0.03140423,0.08500000,0.08500000
0.03150424,0.08500000,0.08500000
0.03160425,0.08500000,0.08500000
0.03170427,0.08500000,0.08500000
0.03180428,0.08500000,0.08500000
0.03190429,0.08500000,0.08500000
0.03200430,0.08500000,0.08500000
0.03210432,0.08500000,0.08500000
0.03220433,0.08500000,0.08500000
0.03230434,0.08500000,0.08500000
0.03240436,0.08500000,0.08500000
0.03250437,0.08500000,0.08500000
0.03260438,0.08500000,0.08500000
0.03270440,0.08500000,0.08500000
0.03280441,0.08500000,0.08500000
0.03290442,0.08500000,0.08500000
0.03300444,0.08500000,0.08500000
0.03310445,0.08500000,0.08500000
0.03320446,0.08500000,0.08500000
0.03330447,0.08500000,0.08500000
0.03340449,0.08500000,0.08500000
0.03350450,0.08500000,0.08500000
0.03360452,0.08500000,0.08500000
0.03370452,0.08500000,0.08500000
0.03380454,0.08500000,0.08500000
0.03390455,0.08500000,0.08500000
0.03400457,0.08500000,0.08500000
0.03410458,0.08500000,0.08500000
0.03420459,0.08500000,0.08500000
0.03430460,0.08500000,0.08500000
0.03440462,0.08500000,0.08500000
0.03450463,0.08500000,0.08500000
0.03460464,0.08500000,0.08500000
0.03470466,0.08500000,0.08500000
0.03480467,0.08500000,0.08500000
0.03490468,0.08500000,0.08500000
0.03500470,0.08500000,0.08500000
0.03510471,0.08500000,0.08500000
