#Time (uint32)[1],WaterHeightReference_csv (float64)[1],WaterHeight_csv (float64)[1],PumpVoltageRequest_csv (float64)[1]
773000000,3.451057,3.501377,0
774000000,3.087785,1.630181,0
775000000,2.500000,11.867843,4.605779
776000000,1.912215,8.422869,0
777000000,1.548943,5.520652,0
778000000,1.548943,3.171045,0
779000000,1.912215,1.390302,0
780000000,2.500000,12.711191,5.000000
781000000,3.087785,9.145916,0
782000000,3.451057,6.121694,0
783000000,3.451057,3.647489,0
784000000,3.087785,1.737649,0
785000000,2.500000,10.609867,4.076167
786000000,1.912215,7.352588,0
787000000,1.548943,4.641022,0
788000000,1.548943,2.486719,0
789000000,1.912215,0.909786,0
790000000,2.500000,12.455959,5.000000
791000000,3.087785,8.926658,0
792000000,3.451057,5.938907,0
793000000,3.451057,3.501920,0
794000000,3.087785,1.630578,0
795000000,2.500000,11.863190,4.603821
796000000,1.912215,8.418892,0
797000000,1.548943,5.517359,0
798000000,1.548943,3.168453,0
799000000,1.912215,1.388438,0
800000000,2.500000,12.710118,5.000000
801000000,3.087785,9.144993,0
802000000,3.451057,6.120924,0
803000000,3.451057,3.646874,0
804000000,3.087785,1.737195,0
805000000,2.500000,10.615178,4.078404
806000000,1.912215,7.357084,0
807000000,1.548943,4.644689,0
808000000,1.548943,2.489535,0
809000000,1.912215,0.911709,0
810000000,2.500000,12.456875,5.000000
811000000,3.087785,8.927445,0
812000000,3.451057,5.939562,0
813000000,3.451057,3.502440,0
814000000,3.087785,1.630959,0
815000000,2.500000,11.858724,4.601942
816000000,1.912215,8.415074,0
817000000,1.548943,5.514199,0
818000000,1.548943,3.165966,0
819000000,1.912215,1.386650,0
820000000,2.500000,12.709089,5.000000
