#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputFusedR (float64)[1];outputFusedZ (float64)[1];vertical_current_request (float64)[1]
0.754768;-0.006472;-0.007034;-0.006163;-0.006048;-0.005896;-0.005961;-0.005451;-0.004960;-0.004482;-0.004541;-0.004993;-0.005989;21.650150;-24.775990;-8.697839;10.528150;-2641.012939;0.438562;-0.008501;0.119308
0.754868;-0.006448;-0.006987;-0.006108;-0.005959;-0.005784;-0.005862;-0.005375;-0.004905;-0.004451;-0.004497;-0.004968;-0.005957;19.845800;-15.895400;-14.759380;8.651320;-2614.389893;0.441108;-0.009059;0.145124
0.754968;-0.006444;-0.006989;-0.006092;-0.005892;-0.005699;-0.005782;-0.005310;-0.004864;-0.004432;-0.004474;-0.004981;-0.005958;19.544439;-18.970039;-12.111980;9.074750;-2599.947998;0.440164;-0.008487;0.139043
0.755068;-0.006403;-0.006948;-0.006045;-0.005842;-0.005630;-0.005710;-0.005244;-0.004820;-0.004406;-0.004431;-0.004946;-0.005905;19.548260;-16.864330;-9.022087;9.326520;-2577.290039;0.440442;-0.007998;0.137257
0.755168;-0.006374;-0.006898;-0.005950;-0.005708;-0.005498;-0.005585;-0.005148;-0.004750;-0.004351;-0.004361;-0.004908;-0.005882;19.426189;-13.915580;-14.168100;8.540694;-2542.260986;0.441166;-0.008656;0.171504
0.755268;-0.006417;-0.006936;-0.005926;-0.005598;-0.005348;-0.005422;-0.005029;-0.004665;-0.004291;-0.004322;-0.004924;-0.005934;21.241980;-25.619040;-7.603024;10.379370;-2520.725098;0.437624;-0.007689;0.158411
0.755368;-0.006285;-0.006801;-0.005815;-0.005553;-0.005324;-0.005375;-0.005014;-0.004645;-0.004259;-0.004264;-0.004850;-0.005816;19.086679;-17.825630;-8.243892;7.815904;-2487.814941;0.439880;-0.007544;0.171106
0.755468;-0.006392;-0.006923;-0.005836;-0.005434;-0.005128;-0.005146;-0.004857;-0.004529;-0.004173;-0.004238;-0.004912;-0.005949;18.773880;-21.560209;-5.447726;7.670946;-2472.154053;0.439250;-0.006701;0.163714
0.755568;-0.006360;-0.006899;-0.005786;-0.005376;-0.005062;-0.005057;-0.004805;-0.004490;-0.004142;-0.004195;-0.004890;-0.005929;19.449080;-19.351509;-7.149076;7.812089;-2451.794922;0.439681;-0.007009;0.191471
0.755668;-0.006338;-0.006861;-0.005744;-0.005334;-0.005008;-0.004986;-0.004746;-0.004458;-0.004124;-0.004160;-0.004846;-0.005873;20.990210;-24.116051;-5.726198;8.662765;-2431.519043;0.437951;-0.007025;0.210754
0.755768;-0.006301;-0.006802;-0.005660;-0.005218;-0.004890;-0.004889;-0.004648;-0.004405;-0.004083;-0.004109;-0.004835;-0.005865;21.882851;-23.986349;-8.011195;8.765760;-2401.246094;0.437696;-0.007404;0.240910
0.755868;-0.006264;-0.006759;-0.005602;-0.005119;-0.004778;-0.004778;-0.004510;-0.004308;-0.004005;-0.004014;-0.004771;-0.005832;20.482861;-24.894251;-2.769816;8.151596;-2364.719971;0.437361;-0.006280;0.225709
