#timeI (float64)[1];PositionZ (float64)[1];vertical_reference (float64)[1];vertical_current_request (float64)[1]
0.029003;0.085000;-0.004000;26.699609
0.029103;0.085000;-0.004000;26.699607
0.029203;0.085000;-0.004000;26.699606
0.029303;0.085000;-0.004000;26.699605
0.029403;0.085000;-0.004000;26.699603
0.029503;0.085000;-0.004000;26.699602
0.029603;0.085000;-0.004000;26.699601
0.029703;0.085000;-0.004000;26.699599
0.029803;0.085000;-0.004000;26.699598
0.029903;0.085000;-0.004000;26.699597
0.030003;0.085000;-0.004000;26.699595
0.030103;0.085000;-0.004000;26.699594
0.030203;0.085000;-0.004000;26.699593
0.030303;0.085000;-0.004000;26.699591
0.030403;0.085000;-0.004000;26.699590
0.030503;0.085000;-0.004000;26.699589
0.030603;0.085000;-0.004000;26.699587
0.030703;0.085000;-0.004000;26.699586
0.030803;0.085000;-0.004000;26.699585
0.030903;0.085000;-0.004000;26.699583
0.031003;0.085000;-0.004000;26.699582
0.031103;0.085000;-0.004000;26.699581
0.031203;0.085000;-0.004000;26.699579
0.031303;0.085000;-0.004000;26.699578
0.031403;0.085000;-0.004000;26.699577
0.031503;0.085000;-0.004000;26.699575
0.031603;0.085000;-0.004000;26.699574
0.031703;0.085000;-0.004000;26.699573
0.031803;0.085000;-0.004000;26.699571
0.031903;0.085000;-0.004000;26.699570
0.032003;0.085000;-0.004000;26.699569
0.032103;0.085000;-0.004000;26.699567
0.032203;0.085000;-0.004000;26.699566
0.032303;0.085000;-0.004000;26.699565
0.032403;0.085000;-0.004000;26.699563
0.032503;0.085000;-0.004000;26.699562
0.032603;0.085000;-0.004000;26.699561
0.032703;0.085000;-0.004000;26.699559
0.032803;0.085000;-0.004000;26.699558
0.032903;0.085000;-0.004000;26.699557
0.033003;0.085000;-0.004000;26.699555
0.033103;0.085000;-0.004000;26.699554
0.033203;0.085000;-0.004000;26.699553
0.033303;0.085000;-0.004000;26.699551
0.033403;0.085000;-0.004000;26.699550
0.033503;0.085000;-0.004000;26.699549
0.033603;0.085000;-0.004000;26.699547
0.033703;0.085000;-0.004000;26.699546
0.033803;0.085000;-0.004000;26.699545
0.033903;0.085000;-0.004000;26.699543
0.034003;0.085000;-0.004000;26.699542
0.034103;0.085000;-0.004000;26.699541
0.034203;0.085000;-0.004000;26.699539
0.034303;0.085000;-0.004000;26.699538
0.034403;0.085000;-0.004000;26.699537
0.034503;0.085000;-0.004000;26.699535
0.034603;0.085000;-0.004000;26.699534
0.034703;0.085000;-0.004000;26.699533
0.034803;0.085000;-0.004000;26.699531
0.034903;0.085000;-0.004000;26.699530
0.035003;0.085000;-0.004000;26.699529
0.035103;0.085000;-0.004000;26.699527
0.035203;0.085000;-0.004000;26.699526
0.035303;0.085000;-0.004000;26.699525
0.035403;0.085000;-0.004000;26.699523
0.035503;0.085000;-0.004000;26.699522
0.035603;0.085000;-0.004000;26.699521
0.035703;0.085000;-0.004000;26.699519
0.035803;0.085000;-0.004000;26.699518
0.035903;0.085000;-0.004000;26.699517
0.036003;0.085000;-0.004000;26.699515
0.036103;0.085000;-0.004000;26.699514
0.036203;0.085000;-0.004000;26.699513
0.036303;0.085000;-0.004000;26.699511
0.036403;0.085000;-0.004000;26.699510
0.036503;0.085000;-0.004000;26.699509
0.036603;0.085000;-0.004000;26.699507
0.036703;0.085000;-0.004000;26.699506
0.036803;0.085000;-0.004000;26.699505
0.036903;0.085000;-0.004000;26.699503
0.037003;0.085000;-0.004000;26.699502
0.037103;0.085000;-0.004000;26.699500
0.037203;0.085000;-0.004000;26.699499
0.037303;0.085000;-0.004000;26.699498
0.037403;0.085000;-0.004000;26.699496
0.037503;0.085000;-0.004000;26.699495
0.037603;0.085000;-0.004000;26.699494
0.037703;0.085000;-0.004000;26.699492
0.037803;0.085000;-0.004000;26.699491
0.037904;0.085000;-0.004000;26.699490
0.038004;0.085000;-0.004000;26.699488
0.038104;0.085000;-0.004000;26.699487
0.038204;0.085000;-0.004000;26.699486
0.038304;0.085000;-0.004000;26.699484
0.038404;0.085000;-0.004000;26.699483
0.038504;0.085000;-0.004000;26.699482
0.038604;0.085000;-0.004000;26.699480
0.038704;0.085000;-0.004000;26.699479
0.038804;0.085000;-0.004000;26.699478
0.038904;0.085000;-0.004000;26.699476
0.039004;0.085000;-0.004000;26.699475
0.039104;0.085000;-0.004000;26.699474
0.039204;0.085000;-0.004000;26.699472
0.039304;0.085000;-0.004000;26.699471
0.039404;0.085000;-0.004000;26.699470
0.039504;0.085000;-0.004000;26.699468
0.039604;0.085000;-0.004000;26.699467
0.039704;0.085000;-0.004000;26.699466
0.039804;0.085000;-0.004000;26.699464
0.039904;0.085000;-0.004000;26.699463
0.040004;0.085000;-0.004000;26.699462
0.040104;0.085000;-0.004000;26.699460
0.040204;0.085000;-0.004000;26.699459
0.040304;0.085000;-0.004000;26.699458
0.040404;0.085000;-0.004000;26.699456
0.040504;0.085000;-0.004000;26.699455
0.040604;0.085000;-0.004000;26.699454
0.040704;0.085000;-0.004000;26.699452
0.040804;0.085000;-0.004000;26.699451
0.040904;0.085000;-0.004000;26.699450
0.041004;0.085000;-0.004000;26.699448
0.041104;0.085000;-0.004000;26.699447
0.041204;0.085000;-0.004000;26.699446
0.041304;0.085000;-0.004000;26.699444
0.041404;0.085000;-0.004000;26.699443
0.041504;0.085000;-0.004000;26.699442
0.041604;0.085000;-0.004000;26.699440
0.041704;0.085000;-0.004000;26.699439
0.041804;0.085000;-0.004000;26.699438
0.041904;0.085000;-0.004000;26.699436
0.042004;0.085000;-0.004000;26.699435
0.042104;0.085000;-0.004000;26.699434
0.042204;0.085000;-0.004000;26.699432
0.042304;0.085000;-0.004000;26.699431
0.042404;0.085000;-0.004000;26.699430
0.042504;0.085000;-0.004000;26.699428
0.042604;0.085000;-0.004000;26.699427
0.042704;0.085000;-0.004000;26.699426
0.042804;0.085000;-0.004000;26.699424
0.042904;0.085000;-0.004000;26.699423
0.043004;0.085000;-0.004000;26.699422
0.043104;0.085000;-0.004000;26.699420
0.043204;0.085000;-0.004000;26.699419
0.043304;0.085000;-0.004000;26.699418
0.043404;0.085000;-0.004000;26.699416
0.043504;0.085000;-0.004000;26.699415
0.043604;0.085000;-0.004000;26.699414
0.043704;0.085000;-0.004000;26.699412
0.043804;0.085000;-0.004000;26.699411
0.043904;0.085000;-0.004000;26.699410
0.044004;0.085000;-0.004000;26.699408
0.044104;0.085000;-0.004000;26.699407
0.044204;0.085000;-0.004000;26.699406
0.044304;0.085000;-0.004000;26.699404
0.044404;0.085000;-0.004000;26.699403
0.044504;0.085000;-0.004000;26.699402
0.044604;0.085000;-0.004000;26.699400
0.044704;0.085000;-0.004000;26.699399
0.044804;0.085000;-0.004000;26.699398
0.044904;0.085000;-0.004000;26.699396
0.045004;0.085000;-0.004000;26.699395
0.045104;0.085000;-0.004000;26.699394
0.045204;0.085000;-0.004000;26.699392
0.045304;0.085000;-0.004000;26.699391
0.045404;0.085000;-0.004000;26.699390
0.045504;0.085000;-0.004000;26.699388
0.045604;0.085000;-0.004000;26.699387
0.045704;0.085000;-0.004000;26.699386
0.045804;0.085000;-0.004000;26.699384
0.045904;0.085000;-0.004000;26.699383
0.046004;0.085000;-0.004000;26.699382
0.046104;0.085000;-0.004000;26.699380
0.046204;0.085000;-0.004000;26.699379
0.046304;0.085000;-0.004000;26.699378
0.046404;0.085000;-0.004000;26.699376
0.046504;0.085000;-0.004000;26.699375
0.046604;0.085000;-0.004000;26.699374
0.046704;0.085000;-0.004000;26.699372
0.046804;0.085000;-0.004000;26.699371
0.046904;0.085000;-0.004000;26.699370
0.047004;0.085000;-0.004000;26.699368
0.047104;0.085000;-0.004000;26.699367
0.047204;0.085000;-0.004000;26.699366
0.047304;0.085000;-0.004000;26.699364
0.047404;0.085000;-0.004000;26.699363
0.047504;0.085000;-0.004000;26.699362
0.047604;0.085000;-0.004000;26.699360
0.047704;0.085000;-0.004000;26.699359
0.047804;0.085000;-0.004000;26.699358
0.047904;0.085000;-0.004000;26.699356
0.048004;0.085000;-0.004000;26.699355
0.048104;0.085000;-0.004000;26.699354
0.048204;0.085000;-0.004000;26.699352
0.048304;0.085000;-0.004000;26.699351
0.048404;0.085000;-0.004000;26.699350
0.048504;0.085000;-0.004000;26.699348
0.048604;0.085000;-0.004000;26.699347
0.048704;0.085000;-0.004000;26.699346
0.048804;0.085000;-0.004000;26.699344
0.048904;0.085000;-0.004000;26.699343
0.049005;0.085000;-0.004000;26.699342
0.049105;0.085000;-0.004000;26.699340
0.049205;0.085000;-0.004000;26.699339
0.049305;0.085000;-0.004000;26.699338
0.049405;0.085000;-0.004000;26.699336
0.049505;0.085000;-0.004000;26.699335
0.049605;0.085000;-0.004000;26.699334
0.049705;0.085000;-0.004000;26.699332
0.049805;0.085000;-0.004000;26.699331
0.049905;0.085000;-0.004000;26.699330
0.050005;0.085000;-0.004000;26.699328
0.050105;0.085000;-0.004000;26.699327
0.050205;0.085000;-0.004000;26.699326
0.050305;0.085000;-0.004000;26.699324
0.050405;0.085000;-0.004000;26.699323
0.050505;0.085000;-0.004000;26.699322
0.050605;0.085000;-0.004000;26.699320
0.050705;0.085000;-0.004000;26.699319
0.050805;0.085000;-0.004000;26.699318
0.050905;0.085000;-0.004000;26.699316
0.051005;0.085000;-0.004000;26.699315
0.051105;0.085000;-0.004000;26.699314
0.051205;0.085000;-0.004000;26.699312
0.051305;0.085000;-0.004000;26.699311
0.051405;0.085000;-0.004000;26.699310
0.051505;0.085000;-0.004000;26.699308
