#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];rogowski_coil (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1]
0.071507;0.004123;0.002788;0.002746;0.004172;0.004648;0.005175;0.005682;0.007320;0.006955;0.005730;0.005128;0.004690;-19.418770;-5.542342;7.983786;17.520470;2224.666016;2304.618813;0.448942;0.008490;0.413500;0.005593
0.071607;0.004134;0.002792;0.002744;0.004170;0.004642;0.005164;0.005646;0.007313;0.007036;0.005798;0.005165;0.004704;-23.340269;-7.838783;7.106408;22.628330;2230.291992;2310.554857;0.448992;0.008774;0.409727;0.006506
0.071707;0.004163;0.002822;0.002763;0.004197;0.004669;0.005191;0.005671;0.007341;0.006988;0.005755;0.005141;0.004726;-25.301010;-4.539079;8.929829;19.576580;2235.689941;2315.113759;0.449107;0.008494;0.412964;0.007640
0.071807;0.004150;0.002806;0.002746;0.004195;0.004666;0.005192;0.005641;0.007329;0.007018;0.005748;0.005155;0.004713;-24.789850;-0.110228;6.847010;19.282850;2232.580078;2312.486803;0.449050;0.008568;0.415370;0.006862
0.071907;0.004225;0.002901;0.002814;0.004261;0.004726;0.005234;0.005657;0.007353;0.007031;0.005810;0.005216;0.004787;-29.760380;2.083217;6.991968;21.461040;2258.226074;2338.061089;0.449507;0.008436;0.415378;0.008395
0.072007;0.004148;0.002802;0.002739;0.004207;0.004666;0.005161;0.005558;0.007271;0.007006;0.005769;0.005176;0.004717;-25.243790;-2.063347;6.137478;21.335150;2226.361084;2307.150385;0.449270;0.008678;0.413329;0.006786
0.072107;0.004168;0.002831;0.002766;0.004244;0.004706;0.005203;0.005607;0.007308;0.007014;0.005777;0.005183;0.004730;-19.987160;-5.561415;6.450282;18.748800;2237.894043;2319.480303;0.449279;0.008478;0.412865;0.005304
0.072207;0.004171;0.002819;0.002762;0.004249;0.004719;0.005229;0.005662;0.007341;0.006992;0.005737;0.005138;0.004719;-25.983841;-2.994131;8.056265;20.949869;2237.455078;2319.507167;0.449106;0.008256;0.413051;0.007582
0.072307;0.004169;0.002827;0.002775;0.004253;0.004718;0.005215;0.005668;0.007354;0.007029;0.005746;0.005162;0.004730;-25.156059;-0.945644;6.225215;19.244711;2241.655029;2323.678449;0.449123;0.008338;0.414964;0.006786
0.072407;0.004094;0.002748;0.002712;0.004192;0.004653;0.005152;0.005639;0.007297;0.006913;0.005667;0.005086;0.004646;-24.847071;-5.172317;8.193594;20.759140;2209.252930;2290.751919;0.448847;0.008323;0.412038;0.007283
0.072507;0.004113;0.002739;0.002698;0.004174;0.004634;0.005131;0.005631;0.007346;0.007005;0.005714;0.005122;0.004671;-22.375151;-2.200676;6.118404;19.145519;2215.879883;2297.674836;0.448771;0.008685;0.414375;0.005920
0.072607;0.004112;0.002745;0.002698;0.004164;0.004616;0.005099;0.005609;0.007317;0.006961;0.005668;0.005118;0.004685;-22.249269;-6.835520;9.936906;18.260521;2210.050049;2290.413208;0.448931;0.008677;0.412464;0.007027
0.072707;0.004064;0.002708;0.002674;0.004160;0.004621;0.005121;0.005662;0.007305;0.006891;0.005592;0.005051;0.004635;-6.246654;-6.362499;3.406162;17.291590;2198.257080;2278.423435;0.448630;0.008333;0.413199;0.000274
0.072807;0.004138;0.002784;0.002717;0.004197;0.004641;0.005120;0.005668;0.007379;0.007048;0.005768;0.005181;0.004726;-20.280890;-6.213727;6.389247;19.614731;2231.006104;2312.782488;0.448927;0.008844;0.412091;0.005374
0.072907;0.004069;0.002726;0.002677;0.004179;0.004623;0.005107;0.005670;0.007394;0.007050;0.005718;0.005098;0.004645;-17.946301;-5.633894;7.430656;17.337360;2213.742920;2296.861281;0.448466;0.008731;0.413547;0.004986
0.073007;0.004153;0.002797;0.002727;0.004238;0.004681;0.005169;0.005728;0.007465;0.007136;0.005840;0.005228;0.004764;-27.524981;-2.406669;9.440996;18.466511;2249.955078;2334.662403;0.448782;0.008903;0.414616;0.008459
0.073107;0.004181;0.002815;0.002735;0.004259;0.004698;0.005182;0.005731;0.007497;0.007225;0.005920;0.005293;0.004794;-20.525030;-3.840991;7.041558;17.718830;2264.176025;2350.300891;0.448825;0.009129;0.414266;0.005643
0.073207;0.004247;0.002884;0.002790;0.004312;0.004749;0.005249;0.005783;0.007546;0.007230;0.005935;0.005317;0.004852;-21.631290;-4.024096;9.692766;15.845820;2286.344971;2372.372708;0.449064;0.008884;0.415127;0.006769
0.073307;0.004262;0.002903;0.002813;0.004336;0.004775;0.005277;0.005818;0.007588;0.007288;0.005979;0.005344;0.004863;-15.214980;-9.795717;8.342366;16.925369;2299.490967;2386.052419;0.449021;0.008882;0.411636;0.004441
0.073407;0.004252;0.002893;0.002807;0.004335;0.004776;0.005294;0.005824;0.007602;0.007259;0.005923;0.005292;0.004837;-23.057980;-1.899316;8.441548;16.612570;2294.293945;2380.137293;0.448903;0.008678;0.415819;0.006821
0.073507;0.004323;0.002952;0.002854;0.004377;0.004825;0.005374;0.005911;0.007665;0.007289;0.005989;0.005360;0.004901;-26.948959;-2.311302;9.158710;19.343889;2322.554932;2408.410898;0.449050;0.008597;0.414217;0.008202
0.073607;0.004333;0.002964;0.002885;0.004414;0.004867;0.005422;0.005913;0.007655;0.007289;0.005946;0.005348;0.004905;-20.841650;-4.310198;6.724939;17.585320;2328.451904;2413.160871;0.449120;0.008301;0.414095;0.005643
0.073707;0.004385;0.002989;0.002885;0.004411;0.004849;0.005384;0.005883;0.007714;0.007439;0.006130;0.005480;0.004992;-28.638861;1.175322;9.807206;17.364071;2350.080078;2436.420419;0.449289;0.009043;0.417003;0.008903
0.073807;0.004413;0.003033;0.002927;0.004467;0.004908;0.005455;0.005994;0.007783;0.007429;0.006099;0.005451;0.005009;-23.515739;-0.011046;6.442653;17.028370;2366.610107;2453.081053;0.449232;0.008597;0.416569;0.006359
0.073907;0.004407;0.003033;0.002929;0.004482;0.004921;0.005468;0.006062;0.007829;0.007461;0.006101;0.005465;0.004999;-22.436180;-1.163081;7.133111;16.837641;2372.852051;2460.456682;0.449055;0.008550;0.416079;0.006243
