#timeI (float64)[1];inputMirnov0 (float64)[1];inputMirnov1 (float64)[1];inputMirnov2 (float64)[1];inputMirnov3 (float64)[1];inputMirnov4 (float64)[1];inputMirnov5 (float64)[1];inputMirnov6 (float64)[1];inputMirnov7 (float64)[1];inputMirnov8 (float64)[1];inputMirnov9 (float64)[1];inputMirnov10 (float64)[1];inputMirnov11 (float64)[1];langmuir_top (float64)[1];langmuir_outer (float64)[1];langmuir_bottom (float64)[1];langmuir_inner (float64)[1];outputMpIp (float64)[1];outputMpR (float64)[1];outputMpZ (float64)[1];outputEpR (float64)[1];outputEpZ (float64)[1]
0.055109;-0.000042;-0.000079;0.000145;0.000007;0.000135;0.000120;0.000029;-0.000065;0.000057;0.000043;-0.000032;0.000102;3.530388;32.089539;-1.934399;4.775599;16.346603;0.445119;-0.048084;0.439169;-0.004256
0.055209;-0.000070;-0.000071;0.000122;0.000038;0.000121;0.000103;0.000048;-0.000051;0.000053;0.000049;-0.000070;0.000118;3.530388;32.093361;-1.934399;4.779413;15.102083;0.433376;-0.057051;0.439169;-0.004256
0.055309;-0.000097;-0.000064;0.000099;0.000069;0.000108;0.000088;0.000064;-0.000038;0.000048;0.000055;-0.000108;0.000132;3.526573;32.093361;-1.934399;4.779413;13.838483;0.420397;-0.069270;0.439169;-0.004255
0.055409;-0.000124;-0.000055;0.000077;0.000101;0.000097;0.000077;0.000077;-0.000027;0.000042;0.000061;-0.000148;0.000146;3.526573;32.089539;-1.934399;4.779413;12.578785;0.406023;-0.085793;0.439167;-0.004255
0.055509;-0.000138;-0.000049;0.000064;0.000122;0.000089;0.000070;0.000086;-0.000020;0.000039;0.000065;-0.000173;0.000154;3.530388;32.089539;-1.938214;4.779413;11.956788;0.397126;-0.096392;0.439167;-0.004257
0.055609;-0.000110;-0.000057;0.000083;0.000087;0.000093;0.000070;0.000084;-0.000026;0.000050;0.000059;-0.000133;0.000140;3.530388;32.093361;-1.934399;4.779413;13.167662;0.409824;-0.072254;0.439169;-0.004256
0.055709;-0.000082;-0.000066;0.000103;0.000053;0.000098;0.000073;0.000079;-0.000033;0.000060;0.000053;-0.000093;0.000126;3.530388;32.089539;-1.934399;4.779413;14.420344;0.421331;-0.053503;0.439167;-0.004256
0.055810;-0.000054;-0.000074;0.000125;0.000019;0.000106;0.000080;0.000070;-0.000043;0.000069;0.000046;-0.000054;0.000111;3.530388;32.089539;-1.934399;4.779413;15.651015;0.432144;-0.039413;0.439167;-0.004256
0.055910;-0.000025;-0.000081;0.000147;-0.000014;0.000115;0.000089;0.000059;-0.000054;0.000077;0.000040;-0.000015;0.000096;3.530388;32.089539;-1.934399;4.779413;16.974213;0.442358;-0.028267;0.439167;-0.004256
0.056010;-0.000007;-0.000084;0.000162;-0.000035;0.000124;0.000100;0.000047;-0.000063;0.000080;0.000035;0.000008;0.000086;3.530388;32.089539;-1.938214;4.779413;17.585705;0.448930;-0.025131;0.439167;-0.004257
